site,model,training,seed,price_case,shortfall_price,surplus_price,tail_premium,storage_fraction,duration_h,reserve,nameplate_mw,power_mw,energy_mwh,calendar_h,observed_h,operating_cny_per_installed_mw,capital_cny_per_installed_mw,total_cny_per_installed_mw,shortfall_mwh,surplus_mwh,throughput_mwh,tail_mwh,inventory_draw_mwh,initial_soc_mwh,terminal_soc_mwh
pizhou,tcn,mse,42,low,150.0,40.0,1000.0,0.1,1.0,0.0,87.45,8.745000000000001,8.745000000000001,2496.0,1774.5,23629.603226155934,6983.464902881907,30613.06812903784,48.33458861711015,53.49357444206596,36.83481172445414,13.323901801834902,-0.017000463464947456,0.05,0.06700046346494747
pizhou,tcn,mse,42,low,150.0,40.0,1000.0,0.1,2.0,0.0,87.45,8.745000000000001,17.490000000000002,2496.0,1774.5,19127.121714394434,12281.26586368887,31408.387578083304,39.95526754957161,44.34391387714734,54.36379335691151,10.018080331989498,-0.05700046346494747,0.1,0.15700046346494748
pizhou,tcn,mse,42,low,150.0,40.0,1000.0,0.1,4.0,0.0,87.45,8.745000000000001,34.980000000000004,2496.0,1774.5,16030.82030764824,22876.867785302802,38907.688092951044,32.26478341946784,35.90128623097688,70.4969051331864,8.033728856198815,-0.13700046346494746,0.2,0.3370004634649475
pizhou,tcn,mse,42,low,150.0,40.0,1000.0,0.2,1.0,0.0,87.45,17.490000000000002,17.490000000000002,2496.0,1774.5,19360.688308242003,13966.929805763813,33327.61811400582,37.98400318630603,42.20123522142393,58.477736375900314,10.530195151081116,-0.05700046346494747,0.1,0.15700046346494748
pizhou,tcn,mse,42,low,150.0,40.0,1000.0,0.2,2.0,0.0,87.45,17.490000000000002,34.980000000000004,2496.0,1774.5,12686.353182835612,24562.53172737774,37248.884910213346,26.39154961959786,29.51733644850954,82.75408871552278,5.519175203106966,-0.13700046346494746,0.2,0.3370004634649475
pizhou,tcn,mse,42,low,150.0,40.0,1000.0,0.2,4.0,0.0,87.45,17.490000000000002,69.96000000000001,2496.0,1774.5,9642.006413476221,45753.735570605604,55395.74198408182,17.61924734391957,19.930753793541122,101.11297364616975,3.7299758724674232,-0.1863701782500877,0.4,0.5863701782500877
pizhou,tcn,mse,42,low,150.0,40.0,5000.0,0.0,0.0,0.0,87.45,0.0,0.0,2496.0,1774.5,97746.30164624758,0.0,97746.30164624758,65.97610971855748,72.68686506507285,0.0,16.98848211717221,0.0,0.0,0.0
pizhou,tcn,mse,42,low,150.0,40.0,5000.0,0.05,1.0,0.0,87.45,4.3725000000000005,4.3725000000000005,2496.0,1774.5,86393.57245231808,3491.7324514409534,89885.30490375904,55.75270120991723,61.57759174521839,21.332681828494607,15.006669338869777,0.0029995365350525415,0.025,0.02200046346494746
pizhou,tcn,mse,42,low,150.0,40.0,5000.0,0.05,2.0,0.0,87.45,4.3725000000000005,8.745000000000001,2496.0,1774.5,75867.5140658184,6140.632931844435,82008.14699766283,50.466001754749264,55.81032785254306,32.3866451763384,13.05212693962706,-0.017000463464947456,0.05,0.06700046346494747
pizhou,tcn,mse,42,low,150.0,40.0,5000.0,0.05,4.0,0.0,87.45,4.3725000000000005,17.490000000000002,2496.0,1774.5,68357.03753094959,11438.433892651401,79795.47142360099,45.41791666527227,50.281575959430604,42.963482158928585,11.695220015569557,-0.05700046346494747,0.1,0.15700046346494748
pizhou,tcn,mse,42,low,150.0,40.0,5000.0,0.1,1.0,0.0,87.45,8.745000000000001,8.745000000000001,2496.0,1774.5,76925.21043349554,6983.464902881907,83908.67533637743,48.33458861711015,53.49357444206596,36.83481172445414,13.323901801834902,-0.017000463464947456,0.05,0.06700046346494747
pizhou,tcn,mse,42,low,150.0,40.0,5000.0,0.1,2.0,0.0,87.45,8.745000000000001,17.490000000000002,2496.0,1774.5,59199.44304235243,12281.26586368887,71480.7089060413,39.95526754957161,44.34391387714734,54.36379335691151,10.018080331989498,-0.05700046346494747,0.1,0.15700046346494748
pizhou,tcn,mse,42,low,150.0,40.0,5000.0,0.1,4.0,0.0,87.45,8.745000000000001,34.980000000000004,2496.0,1774.5,48165.735732443485,22876.867785302802,71042.60351774629,32.26478341946784,35.90128623097688,70.4969051331864,8.033728856198815,-0.13700046346494746,0.2,0.3370004634649475
pizhou,tcn,mse,42,low,150.0,40.0,5000.0,0.2,1.0,0.0,87.45,17.490000000000002,17.490000000000002,2496.0,1774.5,61481.46891256647,13966.929805763813,75448.39871833028,37.98400318630603,42.20123522142393,58.477736375900314,10.530195151081116,-0.05700046346494747,0.1,0.15700046346494748
pizhou,tcn,mse,42,low,150.0,40.0,5000.0,0.2,2.0,0.0,87.45,17.490000000000002,34.980000000000004,2496.0,1774.5,34763.05399526347,24562.53172737774,59325.585722641204,26.39154961959786,29.51733644850954,82.75408871552278,5.519175203106966,-0.13700046346494746,0.2,0.3370004634649475
pizhou,tcn,mse,42,low,150.0,40.0,5000.0,0.2,4.0,0.0,87.45,17.490000000000002,69.96000000000001,2496.0,1774.5,24561.909903345917,45753.735570605604,70315.64547395152,17.61924734391957,19.930753793541122,101.11297364616975,3.7299758724674232,-0.1863701782500877,0.4,0.5863701782500877
