site,model,price_case,tail_premium,storage_fraction,duration_h,mean_difference,sd_difference,seeds,better_seeds,better_fraction
yandun,tcn,high,0.0,0.1,1.0,9156.808334683137,2501.0748801875116,3,0,0.0
yandun,tcn,high,0.0,0.1,2.0,9545.065511616102,2577.4083187902875,3,0,0.0
yandun,tcn,high,0.0,0.1,4.0,9807.118765399295,2797.1433208221047,3,0,0.0
yandun,tcn,high,0.0,0.2,1.0,9629.512832217186,2565.567136388385,3,0,0.0
yandun,tcn,high,0.0,0.2,2.0,9939.631374730596,2726.3925398204365,3,0,0.0
yandun,tcn,high,0.0,0.2,4.0,10392.039105381646,2995.2889962040554,3,0,0.0
yandun,tcn,high,1000.0,0.0,0.0,7261.231161843657,2245.203027613805,3,0,0.0
yandun,tcn,high,1000.0,0.05,1.0,8006.281442287866,2385.708467234118,3,0,0.0
yandun,tcn,high,1000.0,0.05,2.0,8424.74267449451,2387.901131056375,3,0,0.0
yandun,tcn,high,1000.0,0.05,4.0,8540.591727201374,2488.0797914831564,3,0,0.0
yandun,tcn,high,1000.0,0.1,1.0,8531.757681069103,2437.044123625583,3,0,0.0
yandun,tcn,high,1000.0,0.1,2.0,8952.665212765454,2514.8238477124214,3,0,0.0
yandun,tcn,high,1000.0,0.1,4.0,9284.034106906112,2745.8096913547515,3,0,0.0
yandun,tcn,high,1000.0,0.2,1.0,9068.803508275925,2474.2037850457705,3,0,0.0
yandun,tcn,high,1000.0,0.2,2.0,9358.541817328784,2484.79817680402,3,0,0.0
yandun,tcn,high,1000.0,0.2,4.0,10264.199435403129,2922.201624181306,3,0,0.0
yandun,tcn,high,5000.0,0.0,0.0,4485.8109610320025,2515.854665476763,3,0,0.0
yandun,tcn,high,5000.0,0.05,1.0,5432.689815237635,2548.8347902940045,3,0,0.0
yandun,tcn,high,5000.0,0.05,2.0,5923.415099538125,2306.5484278141557,3,0,0.0
yandun,tcn,high,5000.0,0.05,4.0,6139.890571838613,2361.0250071331848,3,0,0.0
yandun,tcn,high,5000.0,0.1,1.0,6031.555066612976,2486.3769053252477,3,0,0.0
yandun,tcn,high,5000.0,0.1,2.0,6583.064017362866,2412.251795816172,3,0,0.0
yandun,tcn,high,5000.0,0.1,4.0,7191.695472933393,2598.4884974706497,3,0,0.0
yandun,tcn,high,5000.0,0.2,1.0,6825.966212510873,2364.2725531081387,3,0,0.0
yandun,tcn,high,5000.0,0.2,2.0,7034.1835877215535,1524.569648068419,3,0,0.0
yandun,tcn,high,5000.0,0.2,4.0,9752.840755489056,2633.641949037052,3,0,0.0
yandun,tcn,low,0.0,0.0,0.0,1988.7715530116402,564.4384934955893,3,0,0.0
yandun,tcn,low,0.0,0.05,1.0,2124.761173208178,597.366094800231,3,0,0.0
yandun,tcn,low,0.0,0.05,2.0,2203.1518034699498,604.4009107922055,3,0,0.0
yandun,tcn,low,0.0,0.05,4.0,2220.907854998714,624.678341080846,3,0,0.0
yandun,tcn,low,0.0,0.1,1.0,2224.048474612175,612.0693388986298,3,0,0.0
yandun,tcn,low,0.0,0.1,2.0,2300.0626809394107,627.0193772937246,3,0,0.0
yandun,tcn,low,0.0,0.1,4.0,2353.6669909579105,673.0419873059907,3,0,0.0
yandun,tcn,low,0.0,0.2,1.0,2316.596041900468,624.6989439191398,3,0,0.0
yandun,tcn,low,0.0,0.2,2.0,2381.5882212229367,660.4299364112692,3,0,0.0
yandun,tcn,low,0.0,0.2,4.0,2474.936055170703,711.3169090763876,3,0,0.0
yandun,tcn,low,1000.0,0.0,0.0,1294.9165028087293,601.050104487295,3,0,0.0
yandun,tcn,low,1000.0,0.05,1.0,1481.363266445621,607.2574356949783,3,0,0.0
yandun,tcn,low,1000.0,0.05,2.0,1577.819909730851,562.8862603434121,3,0,0.0
yandun,tcn,low,1000.0,0.05,4.0,1620.7325661580246,575.3442124819031,3,0,0.0
yandun,tcn,low,1000.0,0.1,1.0,1598.9978209981412,595.7940393127421,3,0,0.0
yandun,tcn,low,1000.0,0.1,2.0,1707.6623820887678,587.386996731766,3,0,0.0
yandun,tcn,low,1000.0,0.1,4.0,1830.582332464731,630.8312278172209,3,0,0.0
yandun,tcn,low,1000.0,0.2,1.0,1755.8867179592041,572.8948593321843,3,0,0.0
yandun,tcn,low,1000.0,0.2,2.0,1800.4986638211274,419.75436195014026,3,0,0.0
yandun,tcn,low,1000.0,0.2,4.0,2347.0963851921865,638.7588793872657,3,0,0.0
yandun,tcn,low,5000.0,0.0,0.0,-1480.5036980029133,1430.5930374027848,3,3,1.0
yandun,tcn,low,5000.0,0.05,1.0,-1092.2283606045992,1412.6792702948967,3,2,0.6666666666666666
yandun,tcn,low,5000.0,0.05,2.0,-923.5076652255302,1084.4549031959043,3,2,0.6666666666666666
yandun,tcn,low,5000.0,0.05,4.0,-779.9685892047297,1020.7518583004198,3,2,0.6666666666666666
yandun,tcn,low,5000.0,0.1,1.0,-901.2047934579847,1335.6605938592436,3,2,0.6666666666666666
yandun,tcn,low,5000.0,0.1,2.0,-661.9388133138249,960.1575860350969,3,2,0.6666666666666666
yandun,tcn,low,5000.0,0.1,4.0,-261.7563015079795,727.0689911676401,3,1,0.3333333333333333
yandun,tcn,low,5000.0,0.2,1.0,-486.9505778058495,1178.9611096564286,3,2,0.6666666666666666
yandun,tcn,low,5000.0,0.2,2.0,-523.8595657861115,567.7725403457807,3,3,1.0
yandun,tcn,low,5000.0,0.2,4.0,1835.7377052781133,378.10115900529325,3,0,0.0
yandun,timesnet,base,0.0,0.0,0.0,1982.8497842991037,777.9403987572017,3,0,0.0
yandun,timesnet,base,0.0,0.05,1.0,2209.9781324901965,799.3961587435658,3,0,0.0
yandun,timesnet,base,0.0,0.05,2.0,2229.3947474533256,798.0462633287193,3,0,0.0
yandun,timesnet,base,0.0,0.05,4.0,2143.8918233878508,747.2459165997831,3,0,0.0
yandun,timesnet,base,0.0,0.1,1.0,2282.9552049080653,771.1926145675602,3,0,0.0
yandun,timesnet,base,0.0,0.1,2.0,2231.3093455081384,712.0042351432153,3,0,0.0
yandun,timesnet,base,0.0,0.1,4.0,2046.849042369374,683.4767676082756,3,0,0.0
yandun,timesnet,base,0.0,0.2,1.0,2264.893845704841,745.7645888306077,3,0,0.0
yandun,timesnet,base,0.0,0.2,2.0,2142.3801156216527,668.0844633937821,3,0,0.0
yandun,timesnet,base,0.0,0.2,4.0,1721.4889667137456,711.4645843983603,3,0,0.0
yandun,timesnet,base,1000.0,0.0,0.0,3920.810608911248,1797.8050610783678,3,0,0.0
