site,cutoff,method,config_a,config_b,pairs,nmi,ari,mean_iou,left_n,right_n,left_coverage,right_coverage
hill,0.3,maximum_iou,adaptive_corridor,sda_florita2013_0.025,4290,0.5952432310320025,0.6910699205951201,0.601279032415396,8032,5315,0.5341135458167331,0.8071495766698025
hill,0.5,greedy,adaptive_corridor,sda_florita2013_0.025,3543,0.6599918365608868,0.7518423882355516,0.6556901827435274,8032,5315,0.4411105577689243,0.6666039510818439
hill,0.5,maximum_iou,adaptive_corridor,sda_florita2013_0.025,3543,0.6482710256788861,0.7441633591578308,0.6556901827435274,8032,5315,0.4411105577689243,0.6666039510818439
hill,0.7,greedy,adaptive_corridor,sda_florita2013_0.025,960,0.9529849187526634,0.9811298641180154,0.9542708333333333,8032,5315,0.11952191235059761,0.18062088428974601
hill,0.7,maximum_iou,adaptive_corridor,sda_florita2013_0.025,960,0.9529849187526634,0.9811298641180154,0.9542708333333333,8032,5315,0.11952191235059761,0.18062088428974601
hill,0.3,greedy,adaptive_corridor,threshold_1h,5865,0.685259984085685,0.7510514105970436,0.6592709890280223,8032,7040,0.7302041832669323,0.8330965909090909
hill,0.3,maximum_iou,adaptive_corridor,threshold_1h,5865,0.6793850693817995,0.746789146195297,0.6592709890280223,8032,7040,0.7302041832669323,0.8330965909090909
hill,0.5,greedy,adaptive_corridor,threshold_1h,4671,0.7119147307273267,0.791212030397036,0.7395941013956429,8032,7040,0.5815488047808764,0.6634943181818181
hill,0.5,maximum_iou,adaptive_corridor,threshold_1h,4671,0.7127396619130326,0.7914753733980532,0.7395941013956429,8032,7040,0.5815488047808764,0.6634943181818181
hill,0.7,greedy,adaptive_corridor,threshold_1h,1989,0.9421606080694104,0.9750239447381378,0.9730062965357086,8032,7040,0.24763446215139442,0.2825284090909091
hill,0.7,maximum_iou,adaptive_corridor,threshold_1h,1989,0.9421606080694104,0.9750239447381378,0.9730062965357086,8032,7040,0.24763446215139442,0.2825284090909091
hill,0.3,greedy,adaptive_corridor,threshold_2h,2680,0.5280146004161158,0.5779398477749725,0.5624655508974338,8032,5402,0.3336653386454183,0.49611255090707146
hill,0.3,maximum_iou,adaptive_corridor,threshold_2h,2686,0.5174477041285348,0.5700705704908859,0.5621233179302597,8032,5402,0.33441235059760954,0.4972232506479082
hill,0.5,greedy,adaptive_corridor,threshold_2h,1700,0.5747765320122071,0.6291600947237217,0.6709935521994346,8032,5402,0.21165338645418327,0.31469825990373934
hill,0.5,maximum_iou,adaptive_corridor,threshold_2h,1703,0.5577433111732029,0.6185978434886856,0.6706923304398349,8032,5402,0.2120268924302789,0.31525360977415773
hill,0.7,greedy,adaptive_corridor,threshold_2h,695,0.7100858468037464,0.7589069014914029,0.8534359205941939,8032,5402,0.0865288844621514,0.12865605331358757
hill,0.7,maximum_iou,adaptive_corridor,threshold_2h,695,0.7100858468037464,0.7589069014914029,0.8534359205941939,8032,5402,0.0865288844621514,0.12865605331358757
