site,model,seed,price_case,tail_premium,regime,mse_test_total_cny_per_installed_mw,event_weighted_test_total_cny_per_installed_mw,event_weighted_minus_mse_cny_per_installed_mw,mse_test_mse_pu2,event_weighted_test_mse_pu2,mse_weighted_mse_pu2,event_weighted_weighted_mse_pu2
yandun,tcn,41,high,0.0,at_least_10pct_2h,22727.051106407882,30874.305437990453,8147.2543315825715,0.01580588393861103,0.0171605600106927,0.033424719342663535,0.032260089457403454
yandun,tcn,41,high,1000.0,unconstrained,32115.455813738827,41116.57107634915,9001.115262610325,0.01580588393861103,0.0171605600106927,0.033424719342663535,0.032260089457403454
yandun,tcn,41,high,1000.0,at_least_10pct_2h,27512.49361782342,35291.97877044809,7779.485152624671,0.01580588393861103,0.0171605600106927,0.033424719342663535,0.032260089457403454
yandun,tcn,41,high,5000.0,unconstrained,38068.636746805474,52962.67210027865,14894.035353473177,0.01580588393861103,0.0171605600106927,0.033424719342663535,0.032260089457403454
yandun,tcn,41,high,5000.0,at_least_10pct_2h,38068.636746805474,52962.67210027865,14894.035353473177,0.01580588393861103,0.0171605600106927,0.033424719342663535,0.032260089457403454
yandun,tcn,42,low,0.0,unconstrained,6545.387294037159,8185.35147501356,1639.9641809764007,0.015597238375889484,0.016327255043430387,0.033486220318754596,0.03141329902226786
yandun,tcn,42,low,0.0,at_least_10pct_2h,9511.621863286051,11427.380753455194,1915.7588901691433,0.015597238375889484,0.016327255043430387,0.033486220318754596,0.03141329902226786
yandun,tcn,42,low,1000.0,unconstrained,14978.919777962783,15676.221116970992,697.3013390082087,0.015597238375889484,0.016327255043430387,0.033486220318754596,0.03141329902226786
yandun,tcn,42,low,1000.0,at_least_10pct_2h,14210.817070733532,15396.848836627754,1186.0317658942222,0.015597238375889484,0.016327255043430387,0.033486220318754596,0.03141329902226786
yandun,tcn,42,low,5000.0,unconstrained,27036.091314375117,31274.721169317992,4238.629854942876,0.015597238375889484,0.016327255043430387,0.033486220318754596,0.03141329902226786
yandun,tcn,42,low,5000.0,at_least_10pct_2h,27036.091314375117,31274.721169317992,4238.629854942876,0.015597238375889484,0.016327255043430387,0.033486220318754596,0.03141329902226786
yandun,tcn,42,base,0.0,unconstrained,13090.774588074319,16370.70295002712,3279.9283619528014,0.015597238375889484,0.016327255043430387,0.033486220318754596,0.03141329902226786
yandun,tcn,42,base,0.0,at_least_10pct_2h,13929.489753379665,17862.839426342958,3933.3496729632934,0.015597238375889484,0.016327255043430387,0.033486220318754596,0.03141329902226786
yandun,tcn,42,base,1000.0,unconstrained,21524.30707199994,23861.57259198455,2337.2655199846085,0.015597238375889484,0.016327255043430387,0.033486220318754596,0.03141329902226786
yandun,tcn,42,base,1000.0,at_least_10pct_2h,18628.684960827148,21832.307509515518,3203.6225486883704,0.015597238375889484,0.016327255043430387,0.033486220318754596,0.03141329902226786
yandun,tcn,42,base,5000.0,unconstrained,30364.03969314172,37710.17984220576,7346.140149064042,0.015597238375889484,0.016327255043430387,0.033486220318754596,0.03141329902226786
yandun,tcn,42,base,5000.0,at_least_10pct_2h,30364.03969314172,37710.17984220576,7346.140149064042,0.015597238375889484,0.016327255043430387,0.033486220318754596,0.03141329902226786
yandun,tcn,42,high,0.0,unconstrained,26181.549176148637,32741.40590005424,6559.856723905603,0.015597238375889484,0.016327255043430387,0.033486220318754596,0.03141329902226786
yandun,tcn,42,high,0.0,at_least_10pct_2h,22765.22553356689,30733.756772118493,7968.5312385516045,0.015597238375889484,0.016327255043430387,0.033486220318754596,0.03141329902226786
yandun,tcn,42,high,1000.0,unconstrained,29960.26472978875,40232.275542011674,10272.010812222925,0.015597238375889484,0.016327255043430387,0.033486220318754596,0.03141329902226786
yandun,tcn,42,high,1000.0,at_least_10pct_2h,27464.42074101437,34703.22485529105,7238.8041142766815,0.015597238375889484,0.016327255043430387,0.033486220318754596,0.03141329902226786
yandun,tcn,42,high,5000.0,unconstrained,37019.93645067492,42979.21813655194,5959.281685877024,0.015597238375889484,0.016327255043430387,0.033486220318754596,0.03141329902226786
yandun,tcn,42,high,5000.0,at_least_10pct_2h,37019.93645067492,42979.21813655194,5959.281685877024,0.015597238375889484,0.016327255043430387,0.033486220318754596,0.03141329902226786
yandun,tcn,43,low,0.0,unconstrained,5855.410084234672,8495.388087360338,2639.978003125666,0.014325916844240573,0.015925365370100954,0.031493620502353964,0.030503288783902897
