site,config,candidate_events,matched_events,coverage,unmatched_events,matched_duration_hours_median,unmatched_duration_hours_median,matched_amplitude_median,unmatched_amplitude_median,matched_power_range_median,unmatched_power_range_median,matched_power_start_median,unmatched_power_start_median,matched_direction_median,unmatched_direction_median
pizhou,mean_shift_2h,3316,3283,0.9900482509047045,33,5.0,8.0,-0.0015583337999499,0.43264450258994,0.6025322413947188,0.7435930086330982,0.5017193140646617,0.3515146070001712,-1.0,1.0
pizhou,mean_shift_4h,1425,1356,0.9515789473684211,69,10.0,16.5,-0.03963160906057825,0.1343967377594414,0.7192997145769374,0.9038576298907206,0.4859593557028329,0.4492784466760148,-1.0,1.0
pizhou,opsda_cui2015_1h_0.025,4452,4452,1.0,0,1.0,,-0.20321164908178274,,0.3188717610294284,,0.5724245756376831,,-1.0,
pizhou,opsda_cui2015_2h_0.025,8674,8666,0.9990777034816694,8,1.5,2.0,-0.20755068899337145,-0.2866422977021901,0.3462322997582816,0.32300159907802584,0.5522084234838629,0.6790930542826641,-1.0,-1.0
pizhou,opsda_cui2015_4h_0.025,13284,12262,0.9230653417645287,1022,2.0,3.0,-0.20739589068219472,-0.2162426328616194,0.39208722854200984,0.36131130851562776,0.5368255181586847,0.5164267254176282,-1.0,-1.0
pizhou,sda_florita2013_0.025,7304,7294,0.9986308871851041,10,1.0,4.75,-0.2042804164013199,-0.2179446061756593,0.3184600279288926,0.2669892628237638,0.5412162500086257,0.9985088524289174,-1.0,-1.0
pizhou,threshold_1h,8396,8307,0.989399714149595,89,1.5,1.0,-0.2009494200416877,-0.2007651238854715,0.3558153663610661,0.2248368801185213,0.5400335159888446,0.4463120977203613,-1.0,-1.0
pizhou,threshold_2h,6346,6171,0.9724235739048219,175,3.0,2.0,-0.0857905627270123,0.1372377442301247,0.4554234421822669,0.23314565457929,0.4941487319111408,0.3931707611274439,-1.0,1.0
pizhou,threshold_4h,3539,3208,0.9064707544504097,331,6.0,4.5,-0.07323455370646151,0.2025248049904998,0.5901380505400481,0.3393730080863018,0.5004922027753227,0.3721137995194051,-1.0,1.0
suining,adaptive_corridor,3538,3506,0.9909553420011306,32,1.0,2.5,-0.20056978688870053,0.2058054723102271,0.307493230065842,0.22360788457538333,0.4929213170659664,0.28661074875948966,-1.0,1.0
suining,endpoint_corridor_0.025,3111,3050,0.9803921568627451,61,0.5,0.5,0.20004407231872945,0.2025522012130484,0.2769118822609917,0.2412478741745375,0.5115616043711193,0.5597048780972427,1.0,1.0
suining,endpoint_corridor_0.050,3571,3546,0.9929991598991879,25,0.5,1.5,-0.20176726042220489,-0.2040996653112348,0.2835453993925692,0.2150820097256286,0.49723752750059946,0.2755586113047091,-1.0,-1.0
suining,endpoint_corridor_0.100,3731,3696,0.9906191369606003,35,1.0,1.5,0.20006206707299834,-0.2001365017613263,0.30832010712306157,0.237611050343116,0.49113241622548304,0.3282746844827069,1.0,-1.0
suining,financial_tail_1h,864,814,0.9421296296296297,50,1.0,1.0,-0.22424738830240548,0.12508899716959293,0.3780176235638309,0.15282975425486256,0.5432521835268822,0.25039745763792426,-1.0,1.0
suining,financial_tail_2h,554,547,0.9873646209386282,7,2.5,2.0,-0.2148334294199312,0.1588284723668501,0.4946807776965511,0.1611420768960148,0.5140442860388114,0.1536879185035014,-1.0,1.0
suining,financial_tail_4h,375,367,0.9786666666666667,8,5.0,4.5,0.1376379800811991,0.1875318228672731,0.6065256281599618,0.19750554419359695,0.4716266814925886,0.13696426619463942,1.0,1.0
suining,mean_shift_1h,1938,1935,0.9984520123839009,3,2.0,3.5,-0.1271925849278878,-0.3196985221742779,0.4236737406420711,0.5378674086667239,0.5060339501723349,0.593261205649682,-1.0,-1.0
suining,mean_shift_2h,1145,1133,0.9895196506550218,12,5.0,8.25,-0.0432503845104598,0.10126469772658109,0.5838894136076246,0.8022049030474669,0.4509259316329111,0.25494027892438054,-1.0,1.0
