site,config_a,config_b,pairs,left_candidates,right_candidates,left_coverage,right_coverage,mean_iou,iou_ge_030,iou_ge_050,iou_ge_070
pizhou,endpoint_corridor_0.050,opsda_cui2015_1h_0.025,3323,10613,4452,0.3131065674173184,0.7464061096136568,0.5527134115758853,1.0,1.0,0.09359012940114354
pizhou,endpoint_corridor_0.050,opsda_cui2015_2h_0.025,4899,10613,8674,0.4616036935833412,0.5647913304127277,0.5865730615577524,1.0,1.0,0.150438865074505
pizhou,endpoint_corridor_0.050,opsda_cui2015_4h_0.025,4804,10613,13284,0.4526524074248563,0.3616380608250527,0.5941351783566605,1.0,1.0,0.16611157368859283
pizhou,endpoint_corridor_0.050,sda_florita2013_0.025,4952,10613,7304,0.46659756901912747,0.6779846659364732,0.5967840474908327,1.0,1.0,0.1635702746365105
pizhou,endpoint_corridor_0.050,threshold_1h,5213,10613,8396,0.49119004993875437,0.6208909004287756,0.7374117362271976,1.0,1.0,0.4231728371379244
pizhou,endpoint_corridor_0.050,threshold_2h,1325,10613,6346,0.12484688589465749,0.20879294043491964,0.6447851561436467,1.0,1.0,0.3305660377358491
pizhou,endpoint_corridor_0.050,threshold_4h,83,10613,3539,0.007820597380570999,0.02345295281152868,0.57298284045272,1.0,1.0,0.0963855421686747
pizhou,endpoint_corridor_0.100,financial_tail_1h,776,10493,1030,0.0739540646145049,0.7533980582524272,0.7720575601374571,1.0,1.0,0.48195876288659795
pizhou,endpoint_corridor_0.100,financial_tail_2h,309,10493,708,0.029448203564280948,0.4364406779661017,0.6513715518569887,1.0,1.0,0.3592233009708738
pizhou,endpoint_corridor_0.100,financial_tail_4h,53,10493,496,0.005050986371866959,0.10685483870967742,0.6287222735335942,1.0,1.0,0.2641509433962264
pizhou,endpoint_corridor_0.100,mean_shift_1h,3477,10493,5717,0.3313637663204041,0.6081861115969914,0.6774130225381304,1.0,1.0,0.3546160483175151
pizhou,endpoint_corridor_0.100,mean_shift_2h,458,10493,3316,0.04364814638330315,0.13811821471652594,0.6209912418973556,1.0,1.0,0.24672489082969432
pizhou,endpoint_corridor_0.100,mean_shift_4h,14,10493,1425,0.00133422281521014,0.009824561403508772,0.5940390629936185,1.0,1.0,0.14285714285714285
pizhou,endpoint_corridor_0.100,opsda_cui2015_1h_0.025,3307,10493,4452,0.31516248927856666,0.7428122192273136,0.65129523233545,1.0,1.0,0.23677048684608407
pizhou,endpoint_corridor_0.100,opsda_cui2015_2h_0.025,5282,10493,8674,0.5033832078528543,0.6089462762278073,0.6728151313535637,1.0,1.0,0.35289663006436955
pizhou,endpoint_corridor_0.100,opsda_cui2015_4h_0.025,5705,10493,13284,0.5436957971981321,0.42946401686239083,0.6885218477111553,1.0,1.0,0.396669588080631
pizhou,endpoint_corridor_0.100,sda_florita2013_0.025,4963,10493,7304,0.47298198799199465,0.6794906900328587,0.6776290000549521,1.0,1.0,0.3181543421317751
pizhou,endpoint_corridor_0.100,threshold_1h,6092,10493,8396,0.5805775278757267,0.7255836112434493,0.7451880686614765,1.0,1.0,0.4397570584372948
