site,conditioning,representation,strata,defined_strata,strata_n_ge_30,both_constant_strata,one_side_constant_strata,original_matched_pairs,retained_pairs,retained_pair_fraction,catalogue_left_views,catalogue_right_views,conditional_left_coverage,conditional_right_coverage,scored_pairs_n_ge_30,scored_fraction_of_retained,equal_stratum_nmi_n_ge_30,equal_stratum_ari_n_ge_30,median_nmi_n_ge_30,median_ari_n_ge_30,pair_weighted_nmi_n_ge_30,pair_weighted_ari_n_ge_30
pizhou,duration_hours,gaf_signed_pca6,324,178,147,2,4,274570,151737,0.5526350293185709,861737,815639,0.17608272593610347,0.18603450791342738,151375,0.9976142931519669,0.5272631849690166,0.5250720693109163,0.3620635159205654,0.3739837398373983,0.6431053565891364,0.6452311729183559
pizhou,duration_hours,raw25,324,173,147,7,1,274570,151737,0.5526350293185709,861737,815639,0.17608272593610347,0.18603450791342738,151375,0.9976142931519669,0.8105827427544218,0.8282979284323237,0.8407763641570829,0.909661272579969,0.8432995494091874,0.8648248529851956
pizhou,duration_hours,raw_pca6,324,173,147,7,1,274570,151737,0.5526350293185709,861737,815639,0.17608272593610347,0.18603450791342738,151375,0.9976142931519669,0.8089532572061481,0.8263336093761766,0.8407408588728557,0.9069465022578777,0.8421960911432398,0.8634313149326561
pizhou,duration_hours,statistics9,324,174,147,6,3,274570,151737,0.5526350293185709,861737,815639,0.17608272593610347,0.18603450791342738,151375,0.9976142931519669,0.6954129634620406,0.7059438880731562,0.695351165192432,0.7546061804860542,0.7777623060078637,0.7991196901503415
pizhou,duration_hours,within_event_time_permutation,324,172,147,8,0,274570,151737,0.5526350293185709,861737,815639,0.17608272593610347,0.18603450791342738,151375,0.9976142931519669,0.612913600320081,0.7355611180117462,0.6336438668603575,0.766015572189165,0.5897077803497646,0.7314455694077366
pizhou,joint_all_four,event_row_permutation,6504,2655,1025,34,160,274570,117670,0.4285610226900244,861737,815639,0.13654978259027986,0.14426725548925443,99224,0.8432395682841846,0.05720888636406693,-0.0009346818780593765,0.0470471567219585,-0.0032918876984043,0.039653025718440114,-0.0007056060787043611
pizhou,joint_all_four,gaf_pca6,6504,2576,1025,113,105,274570,117670,0.4285610226900244,861737,815639,0.13654978259027986,0.14426725548925443,99224,0.8432395682841846,0.8115529009367596,0.7970765643976216,1.0,1.0,0.8312557641446131,0.8239062136730381
pizhou,joint_all_four,gaf_signed_pca6,6504,2578,1025,111,102,274570,117670,0.4285610226900244,861737,815639,0.13654978259027986,0.14426725548925443,99224,0.8432395682841846,0.8120704564882228,0.7983483689348574,1.0,1.0,0.831899274861407,0.8252134314640026
pizhou,joint_all_four,raw25,6504,1487,692,1202,187,274570,117670,0.4285610226900244,861737,815639,0.13654978259027986,0.14426725548925443,69129,0.5874819410215008,0.7562069139855646,0.7772958714701366,1.0,1.0,0.789516801648104,0.8093589714470623
pizhou,joint_all_four,raw_pca6,6504,1501,700,1188,189,274570,117670,0.4285610226900244,861737,815639,0.13654978259027986,0.14426725548925443,70842,0.6020396022775559,0.7540173996164004,0.774931923642367,1.0,1.0,0.7891691246060425,0.8083916426097126
