window_id,site,turbine,stratum,anchor,source,scale,source_clock
M082,yandun,10,steady_screen,2024-07-31 09:00:00+00:00,data/event_clean_v2/yandun/10.csv.gz,1531.2428,UTC (cleaned source)
M083,yandun,103,steady_screen,2024-08-02 03:00:00+00:00,data/event_clean_v2/yandun/103.csv.gz,2039.7018249999999,UTC (cleaned source)
M084,greece,WT06,steady_screen,2020-05-12 01:00:00,data/external_samples/greece_smd10towfgr/clean_native/WT06_data.csv.gz,3000.4,source clock (timezone unresolved)
M085,greece,WT01,steady_screen,2020-05-11 23:30:00,data/external_samples/greece_smd10towfgr/clean_native/WT01_data.csv.gz,3000.4,source clock (timezone unresolved)
M086,pizhou,HRPZ#06(F06),steady_screen,2024-11-01 10:30:00+00:00,data/event_clean_v2/pizhou/HRPZ#06(F06).csv.gz,2680.939464558167,UTC (cleaned source)
M087,greece,WT01,random_screen,2020-06-19 16:30:00,data/external_samples/greece_smd10towfgr/clean_native/WT01_data.csv.gz,3000.4,source clock (timezone unresolved)
M088,greece,WT02,steady_screen,2020-04-25 08:30:00,data/external_samples/greece_smd10towfgr/clean_native/WT02_data.csv.gz,3000.4,source clock (timezone unresolved)
M089,yandun,101,steady_screen,2024-07-11 09:00:00+00:00,data/event_clean_v2/yandun/101.csv.gz,2022.7742,UTC (cleaned source)
M090,pizhou,HRPZ#01(F01),steady_screen,2024-11-26 04:00:00+00:00,data/event_clean_v2/pizhou/HRPZ#01(F01).csv.gz,2681.509338617667,UTC (cleaned source)
M091,greece,WT01,random_screen,2020-06-02 01:00:00,data/external_samples/greece_smd10towfgr/clean_native/WT01_data.csv.gz,3000.4,source clock (timezone unresolved)
M092,sdwpf,23,steady_screen,2021-06-11 03:30:00,data/external_public/sdwpf/sdwpf_2001_2112_full.parquet,1519.81,source clock (timezone not reverified)
M093,yandun,102,falling_screen,2024-07-17 10:30:00+00:00,data/event_clean_v2/yandun/102.csv.gz,2030.0348999999999,UTC (cleaned source)
M094,greece,WT03,falling_screen,2020-05-19 08:00:00,data/external_samples/greece_smd10towfgr/clean_native/WT03_data.csv.gz,2999.7940000000003,source clock (timezone unresolved)
M095,sdwpf,23,random_screen,2021-04-14 01:30:00,data/external_public/sdwpf/sdwpf_2001_2112_full.parquet,1519.81,source clock (timezone not reverified)
M096,greece,WT05,turning_screen,2020-05-21 20:30:00,data/external_samples/greece_smd10towfgr/clean_native/WT05_data.csv.gz,3000.4,source clock (timezone unresolved)
M097,yandun,1,turning_screen,2024-07-12 15:00:00+00:00,data/event_clean_v2/yandun/1.csv.gz,1531.2685,UTC (cleaned source)
M098,yandun,10,random_screen,2024-08-05 14:30:00+00:00,data/event_clean_v2/yandun/10.csv.gz,1531.2428,UTC (cleaned source)
M099,greece,WT06,steady_screen,2020-06-17 08:30:00,data/external_samples/greece_smd10towfgr/clean_native/WT06_data.csv.gz,3000.4,source clock (timezone unresolved)
M100,sdwpf,91,turning_screen,2021-11-20 05:00:00,data/external_public/sdwpf/sdwpf_2001_2112_full.parquet,1519.49,source clock (timezone not reverified)
M101,yandun,1,turning_screen,2024-08-13 15:30:00+00:00,data/event_clean_v2/yandun/1.csv.gz,1531.2685,UTC (cleaned source)
M102,sdwpf,46,random_screen,2021-07-02 05:30:00,data/external_public/sdwpf/sdwpf_2001_2112_full.parquet,1519.59,source clock (timezone not reverified)
M103,yandun,100,steady_screen,2024-07-11 12:30:00+00:00,data/event_clean_v2/yandun/100.csv.gz,2064.828,UTC (cleaned source)
